signature,num_vertices,diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x10800184638421,198,16,0x21924301a408 => 0x21b643008808,10,0x2010430db208,11,0x21924301a408 => 0x213643048840,7,0x2074011e9008
0x180C0085A,396,26,0x450804b40 => 0x4104208002d,14,0xd40002002d,22,0x410c200005a => 0x410c20c0408,12,0x6520005a0
0x108400F62D87A1,198,34,0xb57e05a60821 => 0x89800b5bf05a,17,0x310005bff02d,24,0x310845adb03d => 0x89800b5bf05a,12,0x700187a1b43d
0x100000B7A0042D,197,13,0x401fc40082d => 0x5000fe00b41,8,0x400b5b2002d,10,0x4017b400b41 => 0x440b5a0082d,6,0x21a40303601c
0x401FC200461,394,16,0x2018211da108 => 0x21a44301240c,10,0x20241199600c,12,0x21a643012408 => 0x440b5b00118,7,0x20003199610c
0x180408C43,197,35,0xd1040008043 => 0xc5080020103,18,0xc1100600230,22,0xd1040008043 => 0xc5080020103,11,0xd80024c100
0x52920280007F,394,47,0x181e40c46806 => 0x20a0c8040047f,24,0x180010dcf086,38,0x181e40c46806 => 0x20a0c804007ad,19,0x509202800b5e
0x80200460,98,12,0x10620400 => 0x410884000,6,0x410122000,9,0x10620400 => 0x10620800,5,0x480000062
0x28C03,35,13,0x12000c03 => 0xc0000820c00,7,0x202009c00,9,0x8840844000 => 0x1840004c00,5,0xa00087000
0x187A00C01,196,21,0x6f6001080 => 0x1d68002c00,11,0x6f4007000,15,0x1568003c00 => 0x54005a80003,8,0x400c7a00210
0x10800085AC042D,392,23,0x606222bc110 => 0x5061827c0c0,12,0x184ff0c2,15,0x606222bc110 => 0x5004453e222,8,0x893c04400bc0
0x18000842F8421,391,26,0x20c1041ba820 => 0x20804629b021,13,0x30018303e018,18,0x202713048188 => 0x20804629b021,10,0x21100843e442
0x184018C2005A1,195,12,0x4318043e802 => 0x53640298202,7,0x570002db001,9,0x430c06d8401 => 0x4318223c011,5,0x570002db001
0x2108018C400FE2,390,23,0x57e00233881 => 0x19f200c99204,12,0x436003ff001,19,0x57000637883 => 0x57600237881,10,0x77e0021b201
0x70000C7C0061,196,21,0x205a21148118 => 0x196010896280,11,0x5f0002b4081,15,0x205a21148118 => 0x77000630882,8,0x77800298201
0x10840010800C03,206,23,0x60810904101 => 0x210a00085280,12,0x700001c8003,15,0xcc000041860 => 0x60810904101,8,0x1a0014d008
0x100401FC600C01,194,25,0x212e01093288 => 0x312c01096288,13,0x18018fe00214,15,0x21ac0109620c => 0x88f004038c21,8,0x18018fe00214
0x100C0087A00403,103,20,0x4896824c800 => 0xc8105a24c00,11,0x60007bc0003,12,0x70805a24c00 => 0x648b4006c00,7,0x320820096184
0x108430840D8423,194,27,0x6000fe00b43 => 0x6060c238c62,14,0x36b44185a,16,0x6060c238c62 => 0x6000fe00bc4,8,0x4000fe00c3d
0x18280003D,194,22,0x41182000b40 => 0x5400088005a,12,0x540002205a0,21,0x5400088005a => 0x5100208005a,11,0x4c200042d
0x1087F084000463,387,50,0x30c1041fd820 => 0x333e018c0023,25,0x33b60180019c,38,0x30c1041fd820 => 0x333e018c0023,19,0x648b43205a1
0x108400F7A00431,193,26,0x897004479822 => 0x89800ff80031,13,0x21fe0109201c,16,0x336c1109220c => 0x8a7084439822,8,0x21fe0109201c
0x20081100449842,201,24,0xc302020c0046 => 0x5e00142114,12,0x2de00002380,18,0x1980009a4088 => 0x708000708441,9,0x2de00002380
0x88000B42FB5A1,197,20,0x20c105b9b82d => 0x8801783f8bc0,10,0x20008b5fe45a,14,0x2003785f8bc0 => 0x2011685f6b42,7,0x200087bdb42d
0x800084220020,52,8,0x24008a0020 => 0x2450080008,5,0x7080200020,6,0x2412080040 => 0x2480028008,3,0x2482800008
0x800084218230,198,15,0x706019020 => 0x18c1016008,8,0x2010bb008,10,0x18c1016008 => 0x184b0043,6,0x20609b020
0x10019082000C5A,97,16,0x40612200bc4 => 0x406102205a3,8,0x6560030002d,12,0x406122005a3 => 0x6461030002d,6,0x6560030002d
0x50138180043D,192,37,0x1a3e00c40062 => 0x6960820cb40,19,0x19120198005e,27,0x6c0044265a2 => 0x1900111c80da,14,0x6ce0422002d
0x2DA00000C14,28,13,0x78800042814 => 0x1a8000924404,7,0x1ac000800c06,11,0x1b8000400614 => 0x78800042814,6,0x6c800840814
0x2800FFC001C,193,22,0x8a7204199022 => 0xc01fc200c1c,12,0xc000ffc0023,12,0xffc005380 => 0x208a210b618c,7,0xf800fe00023
0x18803FC401062,101,17,0xc1364409b030 => 0x217e0103ac08,9,0x2036c301b608,11,0x3264118b208c => 0x217e0103ac08,6,0x2036c301b608
0x1184008000047F,382,59,0x190c40486282 => 0x195200929404,30,0xd9e00680280,39,0x70602283281 => 0x190c40486282,20,0x164212c611
0x21089000000C03,381,50,0x4c800244804 => 0x58800844804,25,0x69000340011,32,0xc8000d40011 => 0x58800844804,16,0x60800324081
0x5200B7B00014,100,17,0x23ae01012c08 => 0x32802109618c,9,0xc800ff80011,11,0x32802109618c => 0x23ae01012c08,6,0x32082109238c
0x8400B4200C63,380,35,0x20028b40039c => 0x2188042dc220,18,0x480046f8023,21,0x2188042dc220 => 0x20028b40039c,11,0x20c80117e008
0x10840184638C21,190,21,0x20da201fa100 => 0x31481183288c,12,0x23d20103b808,14,0x316c11824888 => 0x205a201fb100,8,0x8c7184600381
0x100580842DF421,190,19,0xb6000b400fe1 => 0xc437843c0c02,10,0x406843df421,14,0x40f843d8c30 => 0xc437843c0c02,8,0x60e842db421
0x108000F43237A1,190,17,0xb408c43f8620 => 0x2036c11e062d,9,0x20008bdc945e,13,0xb400c453e622 => 0x32128bcc045a,7,0x200087be443d
0x101000B5A00401,189,13,0x4016b400091 => 0xbfc000090,8,0x40021193188,10,0x4800c13c060 => 0x40821192188,6,0x4000c179060
0x10800184620C21,189,20,0xd700022c101 => 0x7180600386,11,0xfc001e8008,14,0x7180600386 => 0x57800228103,7,0x1fe00029100
0x818646018631,190,25,0x21d201097288 => 0x71a4418c0031,13,0x700185a24c0c,17,0x33001bc00c31 => 0x71a4418c0031,9,0x207e81100463
0x108000B5A00021,196,15,0x8861892108 => 0x20036b440100,10,0x400310b210c,12,0x20036b440008 => 0x5021092198,7,0x33093118
0x108780806005A3,188,21,0x74e10268083 => 0x4c1009ef804,11,0x590403e7201,15,0x74e10268083 => 0x1b5e00c80094,8,0x590403e7201
0x108180C7A00423,188,22,0x20c105be4820 => 0x21021b5c90c0,15,0x213c011a402d,16,0x20b5031c0861 => 0x207f8100105a,12,0x213c011a402d
0x10040080800C63,187,20,0x1b80000394 => 0x211a00085280,10,0x1a001cd008,13,0x6188000cc40 => 0x8c40004c61,7,0x700001c8043
0x108000B4200C63,374,31,0x22920b540060 => 0xc70405b030,16,0xdc004298023,19,0xd4200d8311 => 0x22920b540060,10,0xf8403d420
0x100401843DFC21,187,30,0x883f845c0c11 => 0xf4800b400fe1,15,0x1801885f6c46,24,0x1812629f4314 => 0x189243936298,12,0x1801885f6c46
0x10058087AC043D,374,66,0x303f819c0c41 => 0x51001bc49bc4,33,0xc04a861fc430,51,0x44185bc4c2d => 0x51920bc09b44,26,0xc04a861fc430
0x108400B5A00C23,102,18,0x8a800ff40022 => 0xf800c238c60,11,0x6000c3f8063,10,0x8a800ff40022 => 0x5880c27c061,6,0x203e01177008
0x180608842,99,13,0x4104204a100 => 0x1642008408,8,0x5400168100,10,0x448108a0008 => 0x4104204a100,6,0x452800114
0x104400B7A00601,186,25,0x8af004018621 => 0x18810fe00602,13,0x33a40101241c,19,0x8af004018621 => 0x18810fe00602,10,0x33a40101241c
0x100F808000043D,187,34,0x60e10348091 => 0x6081024f881,17,0x1a9200d06082,27,0x1881021e4811 => 0x50c802041b42,14,0x1a1e00d40006
0x310C01005A0800,185,19,0xd1040120303 => 0x49f00244008,10,0x9c40164300,12,0x49f00244008 => 0xd0002809c0c,6,0x9c40164300
0x100000B42D85A1,185,13,0x411681b0b42 => 0x4810b43605a,7,0xaf40d85a0,10,0x411681b0b42 => 0x4810b43605a,6,0x7a1b83d
0x2118016BC09846,185,29,0xc37c06059830 => 0xc5300607f830,15,0x70a5019b680c,21,0xf5000c37c061 => 0xc0ff06018431,11,0xc1fe06018431
0x168400B42D85A3,369,42,0x32120bd3645a => 0x646b43d85b0,22,0xb6000b5f605a,32,0x32120bd3645a => 0xb43ec5ac0610,16,0x8c01781f8bc2
0x1000F7A0009C,368,35,0xd800ff80040 => 0x312c41096088,18,0x2000f7a00291,22,0xd000fe80031 => 0x897004038c21,11,0x20018fe00c06
0x10001180600C21,184,16,0x15a00029102 => 0x45280061c,10,0x70000788042,12,0x4904204b100 => 0x1980006e0020,7,0x1ce00083040
0x20401FC200461,368,26,0x322411896208 => 0x89f004098221,14,0x20e50103680c,18,0x20c0211b7108 => 0x89f004098221,11,0x19000fe00862
0x10803484000C23,368,46,0xd10084300c3 => 0x59808076040,23,0xc00183b0043,26,0x1888230c43 => 0xd10084300c3,13,0xc00183b0043
0x108400B4200C63,367,26,0x5c801876808 => 0x3188042dc220,13,0x780043f8021,16,0x20c805a40863 => 0x64881836c08,8,0xc00047f8023
0x100400B5A00631,193,26,0xc22119618c => 0xbfc000c1c,14,0x3208b5a04280,16,0xbfc000c1c => 0x28a0c03ac60,9,0xc000c17f060
0x100000B46005A1,363,21,0x418880f8440 => 0x2f6000b44,11,0x400f60007a0,16,0x2f600045a => 0x2c60d8421,9,0x4300df180
0x8000B7A00420,181,12,0x20007109210c => 0x200071092188,8,0x20116b400088,7,0x203503012408 => 0x2000b7a00110,6,0x2000f5a00030
0xE00018C007C60,94,13,0x1800f8c000383 => 0x7b000678802,7,0xfe001b6004,8,0x50a442892284 => 0x1800f8c000383,4,0xfe001b6004
0x1001808FE00421,181,16,0x407fc200844 => 0x4016bc09114,9,0x400b7b24018,12,0x40ffc200808 => 0x8fec041c,7,0x400b7b24018
0x1084318421C021,361,25,0x20f40111e408 => 0x4810c638461,14,0x30ec01832808,18,0x5000c738461 => 0x19000c2f8062,11,0x18008c638461
0x1080018C600C2D,180,28,0x5700043ec02 => 0x530407b0203,14,0x6708033b001,19,0x258281bc14 => 0x57600238c02,10,0x6708033b001
0x108000F7A00031,180,33,0x20136b448208 => 0x2174010d6208,17,0x20018fe00446,20,0x20136b448102 => 0x20136b448208,10,0x20018fe00446
0x108400847F8423,360,29,0xc087061da830 => 0x89c20449f222,15,0x306c019ed00c,20,0x8db044487222 => 0x33fe01860820,10,0x306c019ed00c
0x103240B412040C,181,25,0x32c805a60808 => 0xc13604140063,13,0x1b000399201c,17,0xc13604140063 => 0xc13646000883,9,0x180183812c1c
0x200B8300400863,180,24,0x69e00288203 => 0x7c80088d204,12,0x7ce00320401,18,0x8b820018005e => 0x1b0c10c00883,9,0x7ce00320401
0x100400F5B20601,90,16,0x18136bc40804 => 0x7024810d3608,8,0x3224810d241c,14,0x18136bc40804 => 0x7024810d3608,7,0x3025011d7808
0x300000B4220423,180,43,0x1b68007820 => 0x208168c00c03,22,0x228004378021,25,0x208168c00c03 => 0x1f68005820,13,0x208301077008
0x20180180C00846,359,33,0xd60010c441 => 0x55800149110,17,0x6d80000b300,23,0x75000061822 => 0x1b0000660822,12,0xd600124181
0x1085B0840005A3,359,25,0x180d6840023d => 0x1a1e08d30440,14,0x400302db391,18,0x48768200c2d => 0x189e08c30c40,10,0x401181f88c3
0x1000018C000C62,98,12,0x5380009c200 => 0x4398001c001,6,0x360011f000,8,0x60031900118 => 0x4398001c001,4,0x360011f000
0x10858087AC042D,357,65,0x887084203fe1 => 0x312451048bda,33,0x31760180087f,44,0x212613048bda => 0x3077819c0c41,22,0x3176018005bd
0x180600421,97,12,0x580007100 => 0x580002380,7,0x450000a8001,9,0x452800410 => 0x1442008401,5,0x5000328001
0x2108018C6008C6,49,14,0x502582812c14 => 0x7f000438c01,7,0x71000c7c0023,9,0x7f000238c01 => 0x7f000438c01,5,0x4f0003fc001
0x100000840D8423,178,12,0x400b4000c5a => 0x20b4007b0,7,0x400b40007b0,9,0x600b410002d => 0x20b4007b0,5,0xa840d9420
0x200F4100400843,356,22,0x8c8002826c10 => 0x49f00244808,12,0x1f001c5840,13,0xc81021c3820 => 0x208800224c2d,8,0x78e00324020
0x108001807C0C21,178,36,0x51640283091 => 0x45180607203,18,0x74610283201,23,0x45780207081 => 0x18528082b804,12,0x59640283081
0x104400B5A00621,356,29,0x1a800c238862 => 0x1a008c039862,15,0x18016b401382,21,0x1a008c039862 => 0x8a800fe00604,11,0x1a000fe0041c
0x108580862005BD,356,37,0x187280d0f046 => 0x197e00c46106,19,0x5036828c941c,28,0x52e5024b8c1 => 0x884284406fe2,14,0x436023e7031
0x108400C7AC042D,355,41,0x20136844eb42 => 0x8b7c044215a0,21,0x337e0188005a,28,0x3376018800da => 0x20136844eb42,15,0x307f8180085a
0x100000B7A00021,354,17,0x5fc00040c => 0x5fc000444,10,0x400f5a00220,13,0x5fc000608 => 0x5fc000620,8,0x4008fe00408
0x108000B5A00C2D,354,34,0x5060c238c62 => 0x18122389218c,17,0xc00310fb188,21,0x20ac4113e208 => 0x6068c338062,11,0xc00310fb188
0x202B4105000,89,25,0x8805b44000 => 0x8805a44200,13,0x8a01017008,15,0x8805b44000 => 0xab4001210,8,0xa01017408
0x2100018C5C0C62,354,28,0x182c50c96082 => 0x5360027b801,14,0x4368221b411,22,0x182d10c36082 => 0x182c50c96082,11,0x4368221b411
0x1084008C6F8461,354,29,0x312c5193220c => 0x213e4113a608,16,0x30650187b80c,18,0x325a218b2188 => 0x213e4113a608,10,0x30f70183280c
0x10139E8080042D,177,19,0xf481021a6814 => 0x208d2105065a2,10,0x1ade00c00b42,16,0xf480403a7201 => 0xc4ce023005b0,8,0x1ade00c00b42
0x38003800C7F,180,26,0xc9108204fe0 => 0xc9060204fe0,13,0x500086200c7f,16,0xc9108204fe0 => 0xc9060204fe0,8,0xefe00600023
0x843186200C2D,352,26,0x31a44384002d => 0x201ac10de408,13,0x2000f432438c,19,0x3024c3800c2d => 0x21021b449198,10,0x200087bc0463
0x100400B5A00C61,351,22,0x19800c0b8063 => 0x60031892398,12,0x401fc005c60,15,0x40831996188 => 0x1a210da318,8,0x401fc005c60
0x180408C40,175,18,0x782001020 => 0x4c0002c20,9,0x5300009008,12,0x782001020 => 0x4c0002c20,7,0x6c0003020
0x10843186218C21,350,34,0x20f4010df208 => 0x213c0107f808,17,0x31ec01836808,25,0x20ef0103ac08 => 0x32c0218f6108,13,0x21b60301b818
0x108000B5A00C61,349,23,0x52210da318 => 0x19000c2b8063,12,0x18000c6b8063,17,0x8d0c07b060 => 0x5080c2b8063,9,0x18000c6b8063
0x30040000000803,11,10,0x48800044800 => 0x8a00144000,5,0x48800044001,6,0x60000140003 => 0x48800044800,3,0x48800044001
0x108C3084000403,174,23,0x48805a44808 => 0x48968044041,12,0xc80081f0041,15,0x48805a44808 => 0x8b68004184,8,0x68005b40021
0x100590806C0421,174,19,0x411807c0c30 => 0x546002870c1,13,0x74600283031,12,0x1812428c900c => 0xd0e10780041,8,0x3001807e0c02
0x101000B5A00411,174,18,0x1a000c078062 => 0x4880c038862,9,0x400211d610c,13,0x6800fe00204 => 0x18816b400201,7,0x400210d7308
0x100408843DC421,174,27,0x48f04258831 => 0x1ac0208dd104,14,0x328805a4003d,20,0x32b601824884 => 0x48f04258831,10,0x32fe01800403
0x3CE00000611,94,24,0x32c80000c601 => 0x7c800042814,12,0x1b8000400386,22,0x78800842814 => 0x1b8000324404,11,0x1b8000400386
0x1087F08460042D,347,37,0x70b64388022d => 0x71245192062d,21,0x7100063bf031,27,0xc43786200b46 => 0x7036c38008da,15,0x33f60182042d
0x802C0423,173,10,0x283231 => 0x12224094,6,0x250121300,9,0x2809c44 => 0x4800c0618,5,0x40682200c00
0x840840000C23,345,66,0xd0002800603 => 0x48840846004,33,0xc1080400291,37,0x51800204c04 => 0xd0002800614,19,0x8e000850c0
0x10000180600C01,43,11,0x45000028c02 => 0x52800603,6,0x5a00029400,8,0x52800603 => 0x45000028c02,4,0x5a00029400
0x2008018C600846,172,29,0x57800079800 => 0xfb00038401,15,0x6f000238401,21,0x67080039802 => 0x73000690282,11,0x70018c600281
0x21000B5A00401,93,17,0xfe00283 => 0x36b400211,9,0xa0c079060,10,0x36b400c10 => 0xfe00283,5,0x4000c038863
0x108040842E3421,86,15,0x301383824031 => 0x20c1043a3821,8,0x200070768381,10,0x301383824031 => 0x20c1043a3821,5,0x2000c62c3621
0x201B930080085E,59,12,0x24648820c043d => 0x1a0000c4fb46,7,0x1a9e00c0085e,10,0x189e00d0045e => 0x1a0000c4fb46,6,0x1a9e00c0045e
0x100001FC200C61,341,27,0x21a643013408 => 0xd000fe00198,14,0x18000fe80063,19,0x21a643013408 => 0xc810fe0010c,10,0x18010fe00063
0x1080018C600C31,85,17,0x47900238403 => 0x7700078803,9,0x730007f800,11,0xc708023c801 => 0x7700078803,6,0x730007f800
0x1085B684200C61,170,20,0x50cc228db104 => 0xc3045bf822,10,0x448842ff421,13,0x70fe03940108 => 0x418882ff441,7,0x400c62db631
0x182800C08,179,19,0xd00000a8008 => 0x6c2001008,10,0x1440000318,13,0xc10c0000108 => 0xd0002800108,7,0x1440000318
0x8000F4200C63,170,28,0x20108b40039c => 0x20bc410cc008,14,0x20c90107e008,16,0x201168400c63 => 0x20108b40039c,8,0x20c90107e008
0x1080018C23C061,340,29,0x20027309230c => 0x20037b400462,15,0x20348301b418,22,0x20027309230c => 0x20037b400462,11,0x20340319b018
0x63000818C043D,340,33,0x4c1019e980c => 0x1b9e08cc0020,17,0x40186227c31,24,0x1b1e08dc0020 => 0x4c1019e980c,12,0x4007224b391
0xA00018C005060,91,10,0x3b80018011 => 0xc221124108,6,0x40063041118,9,0x1a21148108 => 0x3b80018011,5,0xee00032004
0x108400B46D87A1,339,43,0x89800b5b705a => 0x8842b41fc5a0,22,0x1b001bc3685a,32,0x89800b5b705a => 0x8840b41fc5a1,16,0x50005bff02d
0x108000F7A0042D,169,18,0x3124511b220c => 0x88f1041ba820,10,0x20018fe0043d,11,0x3164110da288 => 0x3124511b220c,6,0x2124019fb00c
0x108400863C0463,338,33,0x7f800263101 => 0x7760030c441,17,0x7f600324180,22,0x88c10023fc01 => 0x7fe00260102,11,0x7f600324180
0x1033B68180043D,172,21,0xc630062275b1 => 0x180d78449bc2,11,0xc6fe0620042d,18,0x188d68c09b46 => 0xc630062275b1,9,0xc6fe0620082d
0x1184008C0C0463,84,20,0x67600238c02 => 0x6f600238c00,10,0x400738007b1,14,0x479001bc801 => 0x6700043ec02,7,0x400738007b1
0x604018C003C60,168,14,0x1fc000b5080 => 0x568102b0083,8,0xfc001b6080,9,0x5b000638c02 => 0x7700036884,5,0x1fe0001b010
0x100000F42005AD,167,17,0x6b6000b5a => 0x196820007f,9,0x400b42205ad,13,0x411682005ad => 0x440b4400b5a,7,0x400f4200fe0
0x470000008007F,173,21,0x70610283011 => 0x185300829404,11,0x40782203811,15,0x41f80203081 => 0x70610283011,8,0x70602283011
0x10803084200C63,333,28,0xcc208d6104 => 0x22b603140060,15,0x1ce04079020,16,0x22b603140060 => 0xcc208d6104,9,0x1f0803cc40
0x108780807C0421,88,15,0x309242849846 => 0xc5180607283,8,0x700007ef003,10,0xc5180607283 => 0x309242849846,5,0x700007ef003
0xF4200C20,166,13,0x7a80230 => 0x1968006020,8,0xc0087a00008,9,0x4b60000c4 => 0x87a000c4,6,0xc00b4220100
0x1021B68100002D,166,16,0x20350118482d => 0x180d78448088,9,0x4017844e0c2,11,0x4077824c0c0 => 0x606b6224018,7,0x189f68c00100
0x10018085A00C01,166,16,0x8845b60200 => 0x21b449280,9,0x40eb4200210,11,0x48768240002 => 0x40768200610,7,0xc00f4120201
0x108401FC203C61,166,22,0xc17c060d9230 => 0x89b2441bb220,11,0x30016bc4931c,14,0x203ec10da618 => 0xc17c060d9230,7,0x30016bc4931c
0x10000087AC042D,331,19,0x406b6200b44 => 0x2026c11e0620,10,0x400f42035a1,15,0x406b6200b44 => 0x40778200b44,8,0x406b42205a1
0x1080008C6C0463,330,19,0x5f6002f0002 => 0x5b640298003,10,0x5b0402db001,14,0x26520da290 => 0x5b640298003,7,0x5b0402db001
0x104400B7A0043D,330,26,0x18810fe007a2 => 0x21ae4113260c,14,0x18000ffc005e,19,0x71a403036898 => 0x18810fe0062d,11,0x18000ffc005e
0x1800085AE0421,330,29,0x21241390005a => 0x2077011a0820,17,0x20350304805a,23,0x2036c30c0420 => 0x21241390005a,13,0x2024c380003d
0x10843084200C63,176,25,0x207f81000294 => 0xc50207d0103,13,0x22fe01041108,14,0xc50207d0103 => 0x207f81000294,7,0x1a081ff040
0x461,47,9,0x242040000 => 0x5060,5,0x242000400,7,0x242040000 => 0x5060,4,0x600081
0x80200C2D,82,10,0x50203c01 => 0x120005a3,6,0x2401a3200,8,0x12000b43 => 0x50203c01,5,0x2c00c9400
0x180608C42,164,13,0x4904204a100 => 0x51042008310,9,0x71000780040,10,0x1442008311 => 0x448108a4008,6,0xd40006c100
0x211801108008C2,328,31,0x334800061820 => 0x5180014b110,16,0x2de00002620,22,0x5180014b110 => 0x518400900461,12,0x7c000224181
0x2DA00000C06,82,25,0x69800024881 => 0x1a80004c0206,13,0x2da00000286,21,0x69800024881 => 0x68800280291,11,0x78800200c11
0x1004018C200FE1,326,26,0x1861049b5a => 0x40871800bda,13,0x400339005bd,22,0x5a21048b5a => 0x4087180087f,11,0x400339005bd
0x1004018C3C0C61,326,25,0x18738081d404 => 0xc8f0c60011c,13,0x4003394919c,21,0x4403194919c => 0xc8f0c600388,11,0x4003394919c
0x1085C684220C21,163,28,0x20c1043e7821 => 0xb441818007a3,14,0x3000c62c3631,19,0x4b7023c0861 => 0xb441818007a3,10,0x51fe02800c60
0x2200B7B00008,82,14,0x20008fe00103 => 0x20116b400230,8,0x2000218b218c,8,0x20116b400103 => 0x20037b401008,4,0x2000218b218c
0x30000010120083,41,17,0x40800082294 => 0xc0000824c04,9,0xca00049010,10,0x60000182094 => 0xc0000824c04,5,0xca00049010
0x18401FC2005A1,162,15,0x213c4117a208 => 0x203c411fa208,9,0x20008c7f8461,10,0x2026530da098 => 0x203ec113a208,6,0x20368303e418
0x104400B5A0042D,324,21,0x8a3c04459220 => 0x20ac4113260c,11,0x4000c33f461,15,0x8a3c04459220 => 0x8a3c04418621,8,0x4000c33f461
0x107001838000DE,324,35,0x89c2041235a0 => 0x1aec00c80063,18,0xb64084324181,25,0xc3c8038c0221 => 0x196c00d40063,13,0x2192031e401c
0x108400803C7461,87,20,0x5396028a4090 => 0xf58000600bc1,10,0x65e802c8411,17,0x1992029a6090 => 0x509702826414,9,0x65e802c8411
0x104400B5A00411,86,16,0x22a401017608 => 0x22a401017288,10,0x608b5a00411,12,0x22ae01012288 => 0x1a000fe00604,7,0x18016b440806
0x50138180003D,162,25,0x6160820cb40 => 0x1a3e00c40060,13,0x646042205a1,21,0x1a3e00c40060 => 0x6160820cb40,11,0x4100824bb41
0x200892000008C6,85,23,0x32880000c601 => 0x6c800042814,12,0x78800004381,20,0x32880000c601 => 0x6c800042814,10,0x78800004381
0x108580842DB421,323,23,0x41e882f3441 => 0x616882f3441,12,0x406863db421,16,0x8c3ec46c0402 => 0x303643964310,9,0x406863db421
0x10000085AC0461,321,28,0x500441b8222 => 0x606b4204108,14,0x181368800062,22,0x500441b8222 => 0x606b4204108,12,0x41807f0c0
0x1003FE8000043D,321,19,0x51b60290045e => 0x1be000c0945e,10,0xc7c80620043d,16,0xf7800880f444 => 0x71c80630043d,9,0x7fe002005b1
0x80200400,20,5,0x200480000 => 0x280004,4,0x240008000,3,0x280004 => 0x12000001,2,0x480000010
0x10878680200C61,80,12,0x51da02882290 => 0x301a4096430c,7,0x501782824c14,8,0x5112409a6284 => 0x50de02882290,5,0xf40180200bc6
0x108400B42007BD,320,26,0xc4c803876818 => 0x1b120391b40c,14,0x78e0423f021,16,0x1b120391b40c => 0x323603809c46,8,0x5092038db01c
0x83FE04120420,320,29,0x21fc01085288 => 0x33481109620c,15,0x306d81800c1c,17,0x21fc01085288 => 0x33481109620c,9,0x336c0198001c
0x10840184618C21,320,28,0x20d80107b808 => 0xdc201bc101,16,0x700087f8041,20,0x648119b2088 => 0x5c004698223,11,0x700086f8043
0x108000F7A00021,169,19,0x212651096008 => 0x203d81033008,11,0x2134010b600c,12,0x8800f7a00820 => 0x21800ff80008,7,0x217601092208
0x108430840D8421,319,16,0x4800fe00b41 => 0x4860c238862,10,0x400310df188,11,0x880c23b861 => 0x4082199b10c,7,0x4000c23f461
0x184018C200461,159,18,0x7380438401 => 0x47080638802,12,0x7f80038400,13,0x47180439800 => 0x47080638802,8,0x70007f8001
0x800184218021,318,20,0x1462091100 => 0x586019020,10,0x440300b2100,14,0x586019020 => 0x1462091100,8,0x440200ba100
0x1080008C0F8463,318,24,0x321221892318 => 0x37b40023d,13,0xc008fe0042d,15,0x2026411b228c => 0x5000fe0023d,8,0xc008fe0003d
0x10818080800C23,159,39,0xd1040000c2d => 0xd00028005a3,20,0x2820037b0,22,0xc81021c8808 => 0xd00028000de,11,0x1b00007b40
0x108001FC6005A3,316,35,0x212e510de088 => 0x21ac411be208,18,0x21800fec003d,21,0x21bc411b6208 => 0x897c04438c21,11,0x21800fec005e
0x1184008C238C63,88,18,0x8a72045b9022 => 0x8b800ffc0022,11,0x1808a0c1fe060,10,0x8c00f7a00c1c => 0x1817a0c147060,6,0x213e011f7008
0x18401FC200420,316,19,0x2036c301200c => 0x20748101e208,11,0x20340319b008,14,0x31244301a408 => 0x2036c301200c,8,0x20008fe00861
0x100000846D8423,158,17,0x184113e608 => 0x610221bc110,9,0xe840db420,10,0xd000449e222 => 0x408709b4300,6,0x40104798823
0x800184638421,85,12,0x20530103a408 => 0x213643008408,8,0x200053892288,8,0x2010430db008 => 0x2050200fb100,5,0x20104309b208
0x1084018C600C61,157,23,0x770007f0002 => 0x67080638c02,12,0x5b0422d8201,15,0x1810e0c143060 => 0x67080638c02,8,0x5f0002fc001
0x2050000284087F,157,27,0x70920090d444 => 0x20a02120005bd,14,0x7880020087f,22,0x70920090d444 => 0x20a0212000fe1,11,0x6de00203281
0x1085B08460042D,313,28,0x616222bc111 => 0x185220cf6102,15,0x4c41ff620,22,0x883d844017a0 => 0xc47f86200204,11,0x400c47f8621
0x10018085AE0421,313,34,0x41768243101 => 0x4876820b041,17,0x40185be0c20,27,0x41768243101 => 0x4876820b041,14,0x4016860f043
0x10818087A00C2D,313,27,0x2018c11f6608 => 0x880cf4400c2d,15,0x20910b5c085a,17,0x2002304ff182 => 0x88fd0444005a,10,0x33760190002d
0x8000B4600420,156,14,0x646098020 => 0x1981032008,8,0x70690101,11,0x4418101a008 => 0x44181812008,6,0x1460096100
0x10840187A00C11,311,29,0x8ac004278822 => 0x21bc01085288,15,0x19800bcc001c,17,0x88c00423cc21 => 0x23ae0100c308,9,0x19800bcc001c
0x108430843DC421,311,27,0x50810c23f461 => 0x8abe04498222,14,0x70800fe0083d,19,0x8ab00449f222 => 0x70a44113e608,10,0x70800fe0085e
0x111200800C08,157,14,0x20040f102 => 0x20000bb40,9,0x1c000045a0,10,0x282025110 => 0x24040105a,6,0x2020035a0
0x108000B40D85A3,155,13,0x4b40d87a3 => 0x28b43785a,8,0x20b47f05a,11,0x19681b0b43 => 0x440b40d87b0,7,0x1b681b4b40
0x110000860,154,14,0x410002440 => 0x10700040,8,0x10600101,10,0x660100 => 0x10700040,6,0x10400308
0x1084018C200C7F,154,17,0x30d22194d10c => 0xc71801dfc00,10,0x51241285b294,11,0x3f801f8c03 => 0x890e0c547062,6,0x670007df003
